id;batch_name;practice_type;course;begin_intership;end_intership;tutor_score;master_score;intership_score;company_credit_code;company_name;internship;company_contact_name;company_contact_job;company_contact_phone;master_contact_name;master_contact_skill;master_contact_phone;urgent_contact_name;urgent_contact_phone;urgent_contact_address;accommodation_type;accommodation_address;company_address;company_detail_address;company_nature;scale;industry;company_profile;is_insurance;insurance_company_and_policy_number;is_internship_agreement;annex;create_time;modify_time
1;analyzing holistic;Architect;Beauty dynamic schemas;2020-05-08T17:40:52;2020-05-08T15:42:51;27095;16261;13318;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International;false;Berkshire solid state;2020-05-08T22:37:50;2020-05-09T00:59:48
2;Switzerland CFP Franc;Granite Configuration Buckinghamshire;Practical Steel Chips;2020-05-08T17:14:54;2020-05-08T20:19:30;34741;32875;20913;Illinois robust;Granite Rubber;enable;deposit Chicken best-of-breed;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;Kiribati;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;false;leverage Toys software;2020-05-09T03:04:22;2020-05-09T06:00:24
3;Brazil;National;Ranch impactful;2020-05-08T16:34:34;2020-05-08T20:11:06;47958;8692;58419;pixel Pennsylvania;architectures Cotton;viral;payment Illinois dot-com;methodology Integration Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;false;primary Customer-focused UAE Dirham;2020-05-08T13:54:08;2020-05-09T05:20:49
4;Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;2020-05-09T03:13:39;2020-05-09T03:47:53;37922;6649;92644;hard drive Refined Soft Keyboard synthesizing;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;Investment Account;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;false;Glen Communications;2020-05-09T04:28:02;2020-05-08T10:15:48
5;Granite Generic;Clothing;Personal Loan Account Awesome International;2020-05-08T13:11:09;2020-05-08T10:00:28;2302;70723;65136;quantify;Checking Account markets;Unbranded programming District;Concrete;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National;interactive capacitor;Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale;indigo National;false;orchid Tools;2020-05-08T20:49:05;2020-05-08T12:04:13
6;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack;2020-05-09T05:40:34;2020-05-09T03:46:53;33436;86178;7550;navigate didactic Dynamic;schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure;Kids;microchip;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;Agent Squares;supply-chains;false;optimal Peru;2020-05-08T16:56:39;2020-05-08T22:29:11
7;purple;navigating Liaison;Corporate Lari;2020-05-08T15:45:05;2020-05-09T07:42:22;82258;91429;52966;generating;actuating India;Buckinghamshire microchip;Games;tertiary;USB;Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;true;24 hour Colorado granular;2020-05-09T05:56:59;2020-05-08T12:46:10
8;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;2020-05-08T14:46:09;2020-05-08T15:31:59;63723;84919;98057;Central;magenta Associate;Argentine Peso Handcrafted Rubber Sausages Officer;Mississippi Product;Metal;complexity Direct Administrator;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;bypass e-services;Russian Federation program;Practical;false;systematic;2020-05-09T01:02:11;2020-05-08T14:58:28
9;Arizona;Automotive;Practical Wooden Shirt whiteboard Concrete;2020-05-08T09:11:38;2020-05-08T09:20:56;79798;78634;25898;Massachusetts;SCSI Communications Underpass;Officer parse;Intuitive;quantifying Phased connecting;Automated;architect;lavender;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;false;yellow Bond Markets Units European Composite Unit (EURCO) Tasty;2020-05-08T11:43:08;2020-05-09T06:40:16
10;RSS Borders;generating open-source Ouguiya;AGP circuit;2020-05-08T19:38:15;2020-05-08T13:00:34;86816;65845;24528;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;Music copying Reduced;Chair connecting synthesizing;Adaptive black;Money Market Account;New York Concrete expedite;Solomon Islands;Wooden radical Beauty;Facilitator 24/365;Sausages bypass;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;Movies Sports;target;compress UAE Dirham Dam;false;Representative partnerships;2020-05-08T21:18:52;2020-05-08T11:38:48
