id;certificate_name;certificate_type;certificate_level;certificate_acquisition_time;certificate_photo;created_time;modify_time
1;cyan;Cambridgeshire Locks Tennessee;Bangladesh payment;2020-05-08T19:31:02;Road;2020-05-09T02:30:58;2020-05-08T12:24:26
2;virtual;Nebraska Wooden;synthesize foreground Avon;2020-05-09T01:19:31;Fresh Credit Card Account Gorgeous Soft Shirt;2020-05-09T00:31:33;2020-05-09T05:40:54
3;tan;Handmade Plastic Soap circuit Awesome Fresh Shoes;end-to-end;2020-05-08T09:34:38;Incredible Security copying;2020-05-09T05:01:46;2020-05-09T01:39:30
4;transmitting local area network;Human Division functionalities;matrix Technician;2020-05-09T06:00:17;Australian Dollar;2020-05-08T20:17:47;2020-05-08T18:35:48
5;Web calculating;Games Ball circuit;Chips radical;2020-05-09T05:02:14;Seychelles Rupee Paradigm attitude-oriented;2020-05-08T20:44:17;2020-05-08T13:23:03
6;invoice Ergonomic Plastic Shoes;syndicate ADP Locks;orchid;2020-05-08T23:17:56;clicks-and-mortar Refined Soft Mouse architectures;2020-05-08T12:24:56;2020-05-08T22:10:07
7;program reintermediate RSS;THX indigo El Salvador Colon US Dollar;Home enable;2020-05-08T09:48:31;Soft card;2020-05-08T08:45:28;2020-05-08T16:40:19
8;whiteboard;Extensions Vermont Gorgeous;open-source;2020-05-09T06:45:13;Soft Borders attitude-oriented;2020-05-08T12:05:47;2020-05-08T15:38:05
9;Implemented;next-generation Clothing Frozen;Health interface;2020-05-09T00:13:19;Investor 24/7;2020-05-08T14:45:05;2020-05-08T21:00:34
10;Associate Iceland Syrian Pound;Springs;override;2020-05-08T19:38:12;Facilitator;2020-05-09T05:08:04;2020-05-08T18:20:22
