id;graduation_project_title;source;task_book;task_book_check;task_book_reviews;opening_report;opening_report_check;opening_report_reviews;mid_term_inspection;mid_term_inspection_check;mid_term_inspection_reviews;first_draft;first_draft_check;first_draft_reviews;final_draft;final_draft_check;final_draft_reviews;created_time;modify_time
1;transmit Developer;neural;Japan enable;false;system;Fantastic;false;Auto Loan Account;parse capacitor model;false;payment Buckinghamshire;Metal;false;calculating scale West Virginia;mint green Maine;true;Chair Netherlands Antillian Guilder;2020-05-08T18:05:18;2020-05-08T12:11:14
2;neutral Cambridgeshire;solid state;systematic;false;PCI;Estates Squares vortals;true;panel deposit;circuit;false;users driver bypass;Polarised;false;unleash;withdrawal Solutions Gorgeous Steel Car;false;didactic;2020-05-09T02:13:13;2020-05-09T01:31:59
3;open-source Engineer unleash;Summit compress;Shoes;true;Ergonomic Rubber Salad;Plastic Gambia;false;revolutionary Future Shoes;Venezuela Rubber;true;streamline navigating open-source;sensor Strategist;false;payment;salmon;false;utilisation Communications;2020-05-08T08:55:53;2020-05-08T23:45:35
4;Steel;program;Cloned quantifying;true;Wallis and Futuna Concrete;innovate Bahrain wireless;true;Checking Account Multi-channelled;Berkshire Keyboard Branding;true;Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports;true;actuating haptic;cross-platform;false;Licensed Soft Shoes pink Synergized;2020-05-09T04:11:41;2020-05-08T19:04:17
5;input;Andorra yellow SMTP;Pizza Enterprise-wide Division;true;input Alaska Bahamas;Hollow;true;Hong Kong;primary reintermediate;false;seize Licensed web services;mint green;true;executive;quantify motivating project;true;azure Global;2020-05-08T19:39:48;2020-05-09T04:21:24
6;Kwacha back-end;Auto Loan Account;Human client-driven;true;Rubber green;customized;true;hacking help-desk;Personal Loan Account Refined RAM;true;Bedfordshire Strategist supply-chains;Metal alarm challenge;true;Administrator deposit Steel;California Antarctica (the territory South of 60 deg S) transmitter;true;Fantastic;2020-05-08T14:35:31;2020-05-08T08:47:06
7;cutting-edge;programming;Handmade copy;true;Internal withdrawal;end-to-end;false;programming back-end Bike;Fresh Ergonomic program;false;National;Extension calculate withdrawal;true;bricks-and-clicks synthesizing;parsing Proactive;false;feed;2020-05-09T05:35:44;2020-05-09T00:20:43
8;UAE Dirham;Colombian Peso Unidad de Valor Real;SMTP;false;bypassing analyzing withdrawal;XML orange sticky;false;copy;invoice Interactions;true;transmit;Handcrafted Fresh Ball invoice SMTP;false;Computer deploy;Flats AI;true;synergize;2020-05-08T08:42:17;2020-05-08T12:53:29
9;Landing;Practical Soft Chair;Specialist Fresh card;true;synthesizing Trinidad and Tobago Dollar backing up;Communications hard drive migration;true;motivating RSS;magenta;false;Ergonomic Concrete Bike Small Rubber Shoes;secured line;true;contingency;monitor;true;Unbranded Fresh Pizza;2020-05-08T11:05:37;2020-05-08T16:07:14
10;Money Market Account;Officer Checking Account Dominica;virtual Grocery Indiana;true;COM Norfolk Island Gorgeous Fresh Bike;Avon bandwidth;true;Baby IB Refined Frozen Towels;Buckinghamshire;false;support;Springs Rubber;false;Table Soap Web;South Carolina Pakistan Rupee;false;Avon Intelligent extend;2020-05-08T20:26:38;2020-05-08T08:50:58
