id;report_type;project_name;intership_stage;annex;report_content;create_time;star;status;operating
1;Fantastic Shirt;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports;synergies;2020-05-08T10:37:36;Unbranded Frozen Bike invoice;Intelligent Frozen Shoes mission-critical;Shoes
2;Open-source multi-tasking;Data;Moldova archive;monitor morph;networks Granite Computer;2020-05-08T15:48:04;Bacon Cocos (Keeling) Islands card;multi-byte;Universal
3;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;2020-05-08T10:24:23;navigate Idaho Seamless;object-oriented;navigating New Leu primary
4;Savings Account Landing Delaware;Re-engineered;RSS sky blue Intelligent;model;Savings Account;2020-05-08T19:01:37;Exclusive benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy
5;Roads feed;Director;bypassing;array Virginia;bypass;2020-05-09T01:47:25;invoice;maroon framework;viral
6;Practical Granite Bacon Handcrafted Soft Car;payment;HDD;Pataca Function-based;collaboration Aruban Guilder;2020-05-08T08:17:19;withdrawal Wyoming;Lodge proactive New Hampshire;Usability
7;payment;mint green Indonesia Practical;synthesizing Garden;invoice;Via enhance Cotton;2020-05-08T08:46:05;Industrial;Accounts Dominican Republic quantifying;Generic Cloned
8;program Rubber connecting;Fish Small Wooden Gloves Expanded;dynamic Incredible;Optional Bedfordshire navigating;Village;2020-05-08T17:44:01;Avon Forward Borders;Texas aggregate Cambridgeshire;Granite quantifying
9;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;Graphic Interface;Keyboard;Future-proofed Metrics North Carolina;2020-05-08T09:45:44;Connecticut Throughway synergy;Avon Personal Loan Account;hacking installation Markets
10;Metal leading-edge Sleek Steel Hat;Versatile;San Marino;Cotton Money Market Account Optimization;solutions Refined deposit;2020-05-09T02:57:46;Home Loan Account;intuitive streamline;digital Ferry
